rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
91,Bucky Larson: Born to Be a Star,2011,R,1.37,3.3,13,['Tom Brady'],"['Adam Sandler', 'Allen Covert', 'Nick Swardson']",['Comedy'],"['Nick Swardson', 'Don Johnson', 'Christina Ricci']"
92,Goal! III,2009,PG-13,1.36,3.2,13,['Andrew Morahan'],"['Mike Jefferies', 'Piers Ashworth']","['Drama', 'Romance', 'Sport']","['JJ Feild', 'Leo Gregory', 'Kuno Becker']"
93,Piranha 3DD,2012,R,1.23,3.8,45,['John Gulager'],"['Writers', 'Patrick Melton', 'Marcus Dunstan', 'Joel Soisson', '']","['Comedy', 'Horror', 'Sci-Fi']","['Danielle Panabaker', 'Ving Rhames', 'David Hasselhoff']"
94,I Know Who Killed Me,2007,R,1.45,3.6,31,['Chris Sivertson'],['Jeff Hammond'],"['Horror', 'Mystery', 'Thriller']","['Lindsay Lohan', 'Julia Ormond', 'Neal McDonough']"
95,The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,1.33,3.7,41,['Robert Rodriguez'],"['Robert Rodriguez', 'Marcel Rodriguez', 'Racer Rodriguez']","['Action', 'Adventure', 'Comedy']","['Cayden Boyd', 'George Lopez', 'Kristin Davis']"
96,The Love Guru,2008,PG-13,1.27,3.8,54,['Marco Schnabel'],"['Mike Myers', 'Graham Gordy']","['Comedy', 'Romance', 'Sport']","['Mike Myers', 'Jessica Alba', 'Romany Malco']"
97,The Hungover Games,2014,R,1.25,3.5,16,['Josh Stolberg'],"['Writers', 'Kyle Barnett Anderson', 'David Bernstein', 'Jamie Kennedy', '']","['Adventure', 'Comedy', 'Fantasy']","['Ben Begley', 'Herbert Russell', 'Ross Nathan']"
98,In the Name of the King: A Dungeon Siege Tale,2007,PG-13,0.27,3.8,51,['Uwe Boll'],"['Writers', 'Doug Taylor', 'Jason Rappaport', 'Dan Stroncak', '']","['Action', 'Adventure', 'Fantasy']","['Jason Statham', 'Ron Perlman', 'Ray Liotta']"
99,The Avengers,1998,PG-13,1.29,3.8,45,['Jeremiah S. Chechik'],"['Sydney Newman', 'Don MacPherson']","['Action', 'Adventure', 'Sci-Fi']","['Ralph Fiennes', 'Uma Thurman', 'Sean Connery']"
100,The Flintstones in Viva Rock Vegas,2000,PG,1.3,3.7,25,['Brian Levant'],"['Writers', 'William Hanna', 'Joseph Barbera', 'Deborah Kaplan', '']","['Comedy', 'Family', 'Romance']","['Mark Addy', 'Stephen Baldwin', 'Kristen Johnston']"
